Rk,Player,WAR,Season,Player-additional
289,Henry Aaron,8.0,1960,aaronha01
290,Ed Delahanty,8.0,1899,delahed01
291,Derek Jeter,8.0,1999,jeterde01
292,Graig Nettles,8.0,1976,nettlgr01
293,Barry Bonds,8.0,1989,bondsba01
294,Lou Boudreau,8.0,1944,boudrlo01
295,Aaron Judge,8.0,2017,judgeaa01
296,Matt Kemp,8.0,2011,kempma01
297,John McGraw,8.0,1899,mcgrajo01
298,Jimmie Foxx,8.0,1935,foxxji01
299,Chuck Klein,8.0,1933,kleinch01
300,Pete Reiser,8.0,1941,reisepe01
301,Barry Bonds,8.0,1991,bondsba01
302,Pedro Guerrero,8.0,1985,guerrpe01
303,Ralph Kiner,8.0,1951,kinerra01
304,Arky Vaughan,8.0,1936,vaughar01
305,Henry Aaron,8.0,1957,aaronha01
306,Ken Boyer,8.0,1961,boyerke01
307,Ty Cobb,8.0,1916,cobbty01
308,Eddie Mathews,8.0,1963,matheed01
309,Dustin Pedroia,8.0,2011,pedrodu01
310,Cy Seymour,8.0,1905,seymocy01
311,Eddie Collins,7.9,1920,collied01
312,Luis Gonzalez,7.9,2001,gonzalu01
313,Andrelton Simmons,7.9,2017,simmoan01
314,Giancarlo Stanton,7.9,2017,stantmi03
315,Home Run Baker,7.9,1913,bakerfr01
316,Ellis Burks,7.9,1996,burksel01
317,Mike Schmidt,7.9,1979,schmimi01
318,Juan Soto,7.9,2024,sotoju01
319,Ken Williams,7.9,1922,willike01
320,Eric Davis,7.9,1987,daviser01
321,Jim Fregosi,7.9,1964,fregoji01
322,Charlie Gehringer,7.9,1936,gehrich01
323,Nap Lajoie,7.9,1908,lajoina01
324,Willie Stargell,7.9,1971,stargwi01
325,Jose Altuve,7.9,2016,altuvjo01
326,Alex Bregman,7.9,2018,bregmal01
327,Art Devlin,7.9,1906,devliar01
328,Bill Terry,7.9,1930,terrybi01
329,Andre Dawson,7.9,1982,dawsoan01
330,Nellie Fox,7.9,1957,foxne01
331,Nap Lajoie,7.9,1903,lajoina01
332,Mike Trout,7.9,2019,troutmi01
333,Fred Dunlap,7.9,1884,dunlafr01
334,Jimmie Foxx,7.9,1929,foxxji01
335,Frank Robinson,7.9,1964,robinfr02
336,Henry Aaron,7.9,1965,aaronha01
337,Henry Aaron,7.9,1966,aaronha01
338,Ernie Banks,7.9,1960,bankser01
339,Al Simmons,7.9,1929,simmoal01
340,Marcus Giles,7.9,2003,gilesma01
341,Joe Tinker,7.9,1908,tinkejo01
342,Troy Glaus,7.8,2000,glaustr01
343,Joey Votto,7.8,2015,vottojo01
344,Johnny Bench,7.8,1974,benchjo01
345,Rod Carew,7.8,1975,carewro01
346,Joe Mauer,7.8,2009,mauerjo01
347,Chase Utley,7.8,2007,utleych01
348,Larry Walker,7.8,2001,walkela01
349,Andrew McCutchen,7.8,2013,mccutan01
350,Ryne Sandberg,7.8,1992,sandbry01
351,Al Simmons,7.8,1930,simmoal01
352,Ray Chapman,7.8,1917,chapmra01
353,Mel Ott,7.8,1936,ottme01
354,Mark Teixeira,7.8,2008,teixema01
355,Adrian Beltré,7.8,2010,beltrad01
356,Wade Boggs,7.8,1983,boggswa01
357,Matt Chapman,7.8,2019,chapmma01
358,Charlie Gehringer,7.8,1937,gehrich01
359,Reggie Jackson,7.8,1973,jacksre01
360,Willie Mays,7.8,1959,mayswi01
361,Bobby Bonds,7.8,1973,bondsbo01
362,Tony Lazzeri,7.8,1929,lazzeto01
363,Jason Giambi,7.8,2000,giambja01
364,Todd Helton,7.8,2001,heltoto01
365,John Olerud,7.8,1993,olerujo01
366,Benny Kauff,7.8,1914,kauffbe01
367,Kirby Puckett,7.8,1988,puckeki01
368,Bobby Wallace,7.8,1901,wallabo01
369,Nolan Arenado,7.7,2022,arenano01
370,Ryan Braun,7.7,2011,braunry02
371,Ted Kluszewski,7.7,1954,kluszte01
372,Derrek Lee,7.7,2005,leede02
373,Barry Bonds,7.7,2000,bondsba01
374,Dale Murphy,7.7,1987,murphda05
375,Billy Williams,7.7,1965,willibi01
376,Jim Wynn,7.7,1974,wynnji01
377,Joe Gordon,7.7,1942,gordojo01
378,Eddie Mathews,7.7,1954,matheed01
379,Tris Speaker,7.7,1910,speaktr01
380,Ichiro Suzuki,7.7,2001,suzukic01
381,Mike Trout,7.7,2014,troutmi01
382,Jim Fregosi,7.7,1970,fregoji01
