Rk,Player,WAR,Player-additional
422,Corey Seager,36.8,seageco01
423,Dick Groat,36.8,groatdi01
424,Garry Maddox,36.8,maddoga01
425,Phil Cavarretta,36.8,cavarph01
426,José Bautista,36.7,bautijo02
427,Wally Moses,36.6,moseswa01
428,Andy Pafko,36.6,pafkoan01
429,Bill Bradley,36.6,bradlbi01
430,George Scott,36.6,scottge02
431,Kevin Kiermaier,36.5,kiermke01
432,Bill Mazeroski,36.5,mazerbi01
433,Don Money,36.5,moneydo01
434,Mule Suttles,36.5,suttlmu99
435,Juan Soto,36.4,sotoju01
436,J.T. Realmuto,36.3,realmjt01
437,Trea Turner,36.3,turnetr01
438,Don Buford,36.2,bufordo01
439,Art Devlin,36.1,devliar01
440,Ed Williamson,36.1,willine01
441,Eric Davis,36.1,daviser01
442,Cecil Cooper,36.0,coopece01
443,Freddy Parent,35.9,parenfr01
444,Jim Bottomley,35.8,bottoji01
445,Wally Joyner,35.8,joynewa01
446,Danny Murphy,35.7,murphda02
447,Tommy Holmes,35.7,holmeto01
448,Willie Kamm,35.7,kammwi01
449,Denny Lyons,35.5,lyonsde01
450,Salvador Perez,35.5,perezsa02
451,Mickey Vernon,35.5,vernomi01
452,Edwin Encarnación,35.5,encared01
453,Miller Huggins,35.4,huggimi01
454,Eddie Yost,35.0,yosted01
455,Brady Anderson,35.0,anderbr01
456,George Burns,35.0,burnsge02
457,Howie Kendrick,35.0,kendrho01
458,Ron Fairly,34.9,fairlro01
459,Frank White,34.8,whitefr01
460,Jimmy Dykes,34.8,dykesji01
461,Claude Ritchey,34.7,ritchcl01
462,Shawn Green,34.7,greensh01
463,Stuffy McInnis,34.7,mcinnst01
464,Shin-Soo Choo,34.6,choosh01
465,Carl Furillo,34.6,furilca01
466,Derrek Lee,34.6,leede02
467,Jeff Cirillo,34.5,cirilje01
468,Alex Gordon,34.5,gordoal01
469,Ken Griffey,34.5,griffke01
470,Pedro Guerrero,34.5,guerrpe01
471,B.J. Surhoff,34.4,surhob.01
472,Travis Fryman,34.4,frymatr01
473,Michael Brantley,34.3,brantmi02
474,John Ward,34.3,wardjo01
475,Willie McGee,34.2,mcgeewi01
476,Johnny Pesky,34.2,peskyjo01
477,Elvis Andrus,34.2,andruel01
478,Bob Allison,34.1,allisbo01
479,Marty McManus,34.1,mcmanma01
480,Ron Gant,34.1,gantro01
481,Ken McMullen,34.0,mcmulke01
482,Dan McGann,34.0,mcganda01
483,Tony Cuccinello,33.9,cuccito01
484,Robby Thompson,33.8,thompro01
485,Ray Durham,33.8,durhara01
486,George Grantham,33.8,grantge01
487,Billy Nash,33.7,nashbi01
488,Anthony Rendon,33.7,rendoan01
489,Nick Markakis,33.6,markani01
490,Bobby Thomson,33.6,thomsbo01
491,Heinie Zimmerman,33.6,zimmehe01
492,Dom DiMaggio,33.5,dimagdo01
493,Mark Ellis,33.5,ellisma01
494,Joe Adcock,33.5,adcocjo01
495,Ken Caminiti,33.4,caminke01
496,Elbie Fletcher,33.4,fletcel01
497,Smoky Burgess,33.4,burgesm01
498,Jud Wilson,33.3,wilsoju99
499,Kid Elberfeld,33.3,elberki01
500,Dwayne Murphy,33.3,murphdw01
501,Johnny Logan,33.2,loganjo01
502,Gene Woodling,33.2,woodlge01
503,Ken Keltner,33.2,keltnke01
504,Rick Monday,33.1,mondari01
505,Earl Torgeson,33.1,torgeea01
506,Ray Schalk,33.0,schalra01
507,Gavy Cravath,32.9,cravaga01
508,Richie Hebner,32.9,hebneri01
509,Ezra Sutton,32.9,suttoez01
510,Brian Jordan,32.9,jordabr01
511,Matt Olson,32.8,olsonma02
512,Riggs Stephenson,32.8,stephri01
513,Bill Doran,32.8,doranbi02
514,Ron Hunt,32.8,huntro01
515,Ross Youngs,32.7,youngro01
516,Rico Carty,32.7,cartyri01
517,Mickey Rivers,32.7,rivermi01
518,Adam Jones,32.6,jonesad01
519,Sam West,32.6,westsa01
520,John Valentin,32.5,valenjo02
521,Jimmy Williams,32.5,williji01
522,Billy Hoy,32.5,hoydu01
523,Édgar Rentería,32.4,renteed01
524,Aramis Ramírez,32.4,ramirar01
525,Joe Start,32.4,startjo01
526,Kevin Youkilis,32.4,youklke01
527,Al Rosen,32.4,rosenal01
528,Roy Cullenbine,32.3,cullero01
529,Darin Erstad,32.3,erstada01
530,Justin Upton,32.3,uptonju01
531,Monte Irvin,32.1,irvinmo01
532,Bobby Murcer,32.1,murcebo01
533,Brian McCann,32.0,mccanbr01
534,Victor Martinez,32.0,martivi01
535,Scott Fletcher,31.9,fletcsc01
536,Marty Marion,31.8,marioma01
537,Frank McCormick,31.7,mccorfr01
538,Wally Pipp,31.7,pippwa01
539,Andrés Galarraga,31.7,galaran01
540,Chick Stahl,31.7,stahlch01
541,Rudy York,31.6,yorkru01
542,Cy Seymour,31.6,seymocy01
543,José Valentín,31.6,valenjo03
544,Eddie Joost,31.5,joosted01
545,Shane Victorino,31.5,victosh01
546,Bill Russell,31.4,russebi01
547,Ted Kluszewski,31.4,kluszte01
548,Topsy Hartsel,31.3,hartsto01
549,Chick Hafey,31.3,hafeych01
550,Ketel Marte,31.2,marteke01
551,Jacoby Ellsbury,31.2,ellsbja01
552,Duke Farrell,31.1,farredu01
553,Bill Joyce,31.0,joycebi01
554,Cool Papa Bell,30.9,bellco99
555,Orlando Hudson,30.9,hudsoor01
556,Greg Vaughn,30.9,vaughgr01
557,Hunter Pence,30.9,pencehu01
558,Trevor Story,30.9,storytr01
559,Rick Ferrell,30.8,ferreri01
560,Hank Thompson,30.7,thompha02
561,Chris Speier,30.6,speiech01
562,Arlie Latham,30.5,lathaar01
563,J.D. Martinez,30.5,martijd02
564,Ginger Beaumont,30.5,beaumgi01
565,Harry Steinfeldt,30.4,steinha01
566,Jhonny Peralta,30.4,peraljh01
567,Cecil Travis,30.4,travice01
